Wavelength,Responsivity,Wavelength,,,,,
nm,A/W,nm,,,,,
,APD440A2,,,,,,
"288,584192443699","7,08945545230182",248,-1,-1,-1,-1,-1
"290,015413464367","7,24080289520381",249,-1,-1,-1,-1,-1
"290,796079475641","7,39673662425435",250,-1,-1,-1,-1,-1
"291,967078492551","7,52973892256216",251,-1,-1,-1,-1,-1
"293,528410515098","7,6352235039787",252,-1,-1,-1,-1,-1
"295,480075543281","7,73153551309815",253,-1,-1,-1,-1,-1
"297,561851573344","7,80950237762341",254,-1,-1,-1,-1,-1
"299,18823909683","7,9195732451885",255,-1,-1,-1,-1,-1
"301,855514635348","8,03423039890213",256,-1,-1,-1,-1,-1
"304,522790173865","8,02964411275358",257,-1,-1,-1,-1,-1
"308,296009228354","8,03423039890213",258,-1,-1,-1,-1,-1
"322,803385937852","8,02047154045649",259,-1,-1,-1,-1,-1
"326,381438489521","8,03881668505067",260,-1,-1,-1,-1,-1
"329,439047033676","8,08926583268467",261,-1,-1,-1,-1,-1
"332,431600076891","8,16723269720994",262,-1,-1,-1,-1,-1
"334,578431607893","8,30940756781484",263,-1,-1,-1,-1,-1
"338,676928167078","8,40571957693429",264,-1,-1,-1,-1,-1
"343,556090737537","8,41947843537993",265,-1,-1,-1,-1,-1
"346,873921285449","8,47451386916247",266,-1,-1,-1,-1,-1
"350,907362343695","8,4469961522712",267,-1,-1,-1,-1,-1
"353,184304876576","8,22685441714103",268,-1,-1,-1,-1,-1
"355,201025405699","8,06633440194195",269,-1,-1,-1,-1,-1
"357,41291243764","7,89205552829723",270,-1,-1,-1,-1,-1
"359,624799469582","7,79115723302924",271,-1,-1,-1,-1,-1
"363,46307402501","7,75905322998942",272,-1,-1,-1,-1,-1
"367,041126576679","7,80950237762341",273,-1,-1,-1,-1,-1
"369,253013608621","7,93333210363414",274,-1,-1,-1,-1,-1
"371,985344648078","8,13512869417013",275,-1,-1,-1,-1,-1
"375,30317519599","8,56623959213337",276,-1,-1,-1,-1,-1
"383,825445819058","9,72656998771531",277,-1,-1,-1,-1,-1
"385,842166348181","9,91460771980567",278,-1,-1,-1,-1,-1
"387,988997879183","10,0843003073018",279,-1,-1,-1,-1,-1
"389,355163398912","10,1943711748669",280,-1,-1,-1,-1,-1
"390,330995913004","10,3869951931058",281,-1,-1,-1,-1,-1
"391,632105931793","10,5475152083049",282,-1,-1,-1,-1,-1
"393,583770959976","10,6851037927613",283,-1,-1,-1,-1,-1
"395,860713492857","10,8456238079603",284,-1,-1,-1,-1,-1
"397,356990014464","11,061179256942",285,-1,-1,-1,-1,-1
"398,202711526677","11,1987678413983",286,-1,-1,-1,-1,-1
"400,089321053921","11,3913918596372",287,-1,-1,-1,-1,-1
"401,130209068953","11,5381530163907",288,-1,-1,-1,-1,-1
"402,496374588681","11,6619827424014",289,-1,-1,-1,-1,-1
"404,057706611228","11,7537084653723",290,-1,-1,-1,-1,-1
"405,814205136593","11,8637793329374",291,-1,-1,-1,-1,-1
"406,334649144109","12,0518170650277",292,-1,-1,-1,-1,-1
"408,286314172293","12,1481290741472",293,-1,-1,-1,-1,-1
"410,303034701416","12,2948902309006",294,-1,-1,-1,-1,-1
"411,669200221144","12,4921005352881",295,-1,-1,-1,-1,-1
"413,685920750267","12,6480342643386",296,-1,-1,-1,-1,-1
"416,548362791603","12,7947954210921",297,-1,-1,-1,-1,-1
"417,589250806634","12,9828331531824",298,-1,-1,-1,-1,-1
"418,369916817908","13,1295943099359",299,-1,-1,-1,-1,-1
"419,475860333878","13,2625966082437",300,-1,-1,-1,-1,-1
"421,947969369578","13,4552206264826",301,-1,-1,-1,-1,-1
"423,964689898701","13,5836366386418",302,-1,-1,-1,-1,-1
"425,20074441655","13,7349840815438",303,-1,-1,-1,-1,-1
"426,827131940037","13,854227521406",304,-1,-1,-1,-1,-1
"429,039018971978","14,0743692565362",305,-1,-1,-1,-1,-1
"430,795517497343","14,2761658470722",306,-1,-1,-1,-1,-1
"432,682127024587","14,4779624376081",307,-1,-1,-1,-1,-1
"434,243459047134","14,6063784497674",308,-1,-1,-1,-1,-1
"436,390290578136","14,7393807480752",309,-1,-1,-1,-1,-1
"436,715568082833","14,922832194017",310,-1,-1,-1,-1,-1
"438,407011107259","15,0283167754336",311,-1,-1,-1,-1,-1
"440,488787137322","15,1383876429987",312,-1,-1,-1,-1,-1
"442,180230161747","15,2851487997521",313,-1,-1,-1,-1,-1
"442,765729670203","15,4089785257628",314,-1,-1,-1,-1,-1
"444,327061692749","15,528221965625",315,-1,-1,-1,-1,-1
"446,148615719054","15,6382928331901",316,-1,-1,-1,-1,-1
"447,319614735964","15,7667088453493",317,-1,-1,-1,-1,-1
"448,620724754753","15,9042974298057",318,-1,-1,-1,-1,-1
"449,401390766027","15,9730917220339",319,-1,-1,-1,-1,-1
"451,027778289513","16,0739900173019",320,-1,-1,-1,-1,-1
"452,784276814878","16,2207511740553",321,-1,-1,-1,-1,-1
"454,215497835546","16,3812711892544",322,-1,-1,-1,-1,-1
"455,516607854335","16,6151717828302",323,-1,-1,-1,-1,-1
"457,728494886277","16,7848643703264",324,-1,-1,-1,-1,-1
"460,200603921976","16,9820746747138",325,-1,-1,-1,-1,-1
"461,241491937007","17,1471809760615",326,-1,-1,-1,-1,-1
"463,193156965191","17,2664244159236",327,-1,-1,-1,-1,-1
"465,014710991495","17,3994267142314",328,-1,-1,-1,-1,-1
"466,380876511224","17,5232564402422",329,-1,-1,-1,-1,-1
"467,226598023437","17,6654313108471",330,-1,-1,-1,-1,-1
"469,763762560075","17,8305376121947",331,-1,-1,-1,-1,-1
"471,58531658638","18,0919559226618",332,-1,-1,-1,-1,-1
"473,471926113624","18,2111993625239",333,-1,-1,-1,-1,-1
"475,944035149323","18,3579605192774",334,-1,-1,-1,-1,-1
"476,854812162476","18,5597571098134",335,-1,-1,-1,-1,-1
"479,717254203812","18,7477948419037",336,-1,-1,-1,-1,-1
"482,31947424139","18,926660001697",337,-1,-1,-1,-1,-1
"483,165195753603","19,1192840199359",338,-1,-1,-1,-1,-1
"486,613137303394","19,2706314628379",339,-1,-1,-1,-1,-1
"487,458858815607","19,5045320564137",340,-1,-1,-1,-1,-1
"489,735801348487","19,6512932131671",341,-1,-1,-1,-1,-1
"491,687466376671","19,7888817976235",342,-1,-1,-1,-1,-1
"492,923520894521","19,9494018128226",343,-1,-1,-1,-1,-1
"494,15957541237","20,0686452526848",344,-1,-1,-1,-1,-1
"496,241351442433","20,197061264844",345,-1,-1,-1,-1,-1
"498,388182973435","20,3392361354489",346,-1,-1,-1,-1,-1
"499,103793483769","20,4722384337567",347,-1,-1,-1,-1,-1
"499,689292992224","20,6281721628073",348,-1,-1,-1,-1,-1
"501,836124523226","20,8253824671947",349,-1,-1,-1,-1,-1
"504,763622065501","20,9308670486112",350,-1,-1,-1,-1,-1
"507,040564598382","21,0776282053647",351,-1,-1,-1,-1,-1
"508,797063123747","21,215216789821",352,-1,-1,-1,-1,-1
"509,64278463596","21,3849093773172",353,-1,-1,-1,-1,-1
"511,074005656628","21,5133253894765",354,-1,-1,-1,-1,-1
"513,676225694206","21,6279825431901",355,-1,-1,-1,-1,-1
"515,302613217692","21,7334671246067",356,-1,-1,-1,-1,-1
"517,904833255271","21,9857128627766",357,-1,-1,-1,-1,-1
"519,20594327406","22,2058545979068",358,-1,-1,-1,-1,-1
"521,48288580694","22,3021666070263",359,-1,-1,-1,-1,-1
"524,540494351095","22,4489277637797",360,-1,-1,-1,-1,-1
"526,752381383036","22,5681712036419",361,-1,-1,-1,-1,-1
"529,679878925312","22,728691218841",362,-1,-1,-1,-1,-1
"532,412209964769","22,8983838063371",363,-1,-1,-1,-1,-1
"535,990262516438","23,0543175353877",364,-1,-1,-1,-1,-1
"538,657538054956","23,1964924059926",365,-1,-1,-1,-1,-1
"540,414036580321","23,343253562746",366,-1,-1,-1,-1,-1
"543,992089131991","23,4349792857169",367,-1,-1,-1,-1,-1
"547,505086182722","23,5863267286189",368,-1,-1,-1,-1,-1
"549,847084216542","23,7147427407782",369,-1,-1,-1,-1,-1
"550,887972231573","23,8248136083433",370,-1,-1,-1,-1,-1
"554,661191286061","23,9257119036113",371,-1,-1,-1,-1,-1
"558,954854348065","24,0174376265822",372,-1,-1,-1,-1,-1
"563,443683912887","24,1275084941473",373,-1,-1,-1,-1,-1
"567,93251347771","24,2329930755638",374,-1,-1,-1,-1,-1
"572,941787050048","24,3338913708318",375,-1,-1,-1,-1,-1
"577,755894119567","24,4256170938027",376,-1,-1,-1,-1,-1
"581,724279676874","24,503583958328",377,-1,-1,-1,-1,-1
"585,497498731362","24,5311016752192",378,-1,-1,-1,-1,-1
"588,685218277395","24,5953096812989",379,-1,-1,-1,-1,-1
"593,499325346915","24,613654825893",380,-1,-1,-1,-1,-1
"615,227862660692","24,6319999704872",381,-1,-1,-1,-1,-1
"619,911858728333","24,6182411120416",382,-1,-1,-1,-1,-1
"624,98618780161","24,5173428167736",383,-1,-1,-1,-1,-1
"629,279850863614","24,4485485245454",384,-1,-1,-1,-1,-1
"635,069790447225","24,3201325123862",385,-1,-1,-1,-1,-1
"640,599508027079","24,1596124971871",386,-1,-1,-1,-1,-1
"646,38944761069","24,0036787681365",387,-1,-1,-1,-1,-1
"652,764886702756","23,7743644607093",388,-1,-1,-1,-1,-1
"658,22954878167","23,5267050086878",389,-1,-1,-1,-1,-1
"663,694210860584","23,3707712796373",390,-1,-1,-1,-1,-1
"666,62170840286","23,1827335475469",391,-1,-1,-1,-1,-1
"670,264816455469","23,0038683877537",392,-1,-1,-1,-1,-1
"673,647702504321","22,8479346587031",393,-1,-1,-1,-1,-1
"677,160699555051","22,6553106404642",394,-1,-1,-1,-1,-1
"680,283363600145","22,425996333037",395,-1,-1,-1,-1,-1
"685,292637172483","22,173750594867",396,-1,-1,-1,-1,-1
"689,065856226971","22,0040580073708",397,-1,-1,-1,-1,-1
"693,099297285217","21,7793299860921",398,-1,-1,-1,-1,-1
"696,677349836887","21,5133253894765",399,-1,-1,-1,-1,-1
"699,344625375404","21,2794247959007",400,-1,-1,-1,-1,-1
"701,686623409225","21,0271790577307",401,-1,-1,-1,-1,-1
"704,549065450561","20,8987630455714",402,-1,-1,-1,-1,-1
"708,582506508807","20,7611744611151",403,-1,-1,-1,-1,-1
"711,705170553901","20,5823093013218",404,-1,-1,-1,-1,-1
"715,28322310557","20,2933732739635",405,-1,-1,-1,-1,-1
"718,92633115818","20,1007492557246",406,-1,-1,-1,-1,-1
"723,545271724881","19,8072269422177",407,-1,-1,-1,-1,-1
"726,342658265277","19,5228772010079",408,-1,-1,-1,-1,-1
"729,660488813189","19,2522863182437",409,-1,-1,-1,-1,-1
"733,693929871436","18,9587640047368",410,-1,-1,-1,-1,-1
"738,638147942834","18,6423102604872",411,-1,-1,-1,-1,-1
"742,801700002959","18,3854782361687",412,-1,-1,-1,-1,-1
"744,232921023627","18,1332324979987",413,-1,-1,-1,-1,-1
"746,574919057447","17,968126196651",414,-1,-1,-1,-1,-1
"750,152971609117","17,7617433199665",415,-1,-1,-1,-1,-1
"752,690136145756","17,504911295648",416,-1,-1,-1,-1,-1
"755,097189680516","17,2939421328149",417,-1,-1,-1,-1,-1
"758,15479822467","17,0371101084964",418,-1,-1,-1,-1,-1
"759,390852742519","16,8628312348517",419,-1,-1,-1,-1,-1
"761,862961778219","16,7068975058011",420,-1,-1,-1,-1,-1
"763,033960795129","16,5555500628991",421,-1,-1,-1,-1,-1
"764,530237316736","16,4179614784428",422,-1,-1,-1,-1,-1
"767,783012363709","16,2299237463524",423,-1,-1,-1,-1,-1
"769,344344386256","16,0372997281135",424,-1,-1,-1,-1,-1
"770,580398904105","15,8630208544688",425,-1,-1,-1,-1,-1
"773,312729943562","15,7254322700124",426,-1,-1,-1,-1,-1
"774,678895463291","15,5098768210308",427,-1,-1,-1,-1,-1
"777,736504007445","15,2897350859006",428,-1,-1,-1,-1,-1
"779,948391039386","15,0283167754336",429,-1,-1,-1,-1,-1
"782,875888581662","14,8173476126005",430,-1,-1,-1,-1,-1
"787,624940150242","14,4917212960538",431,-1,-1,-1,-1,-1
"791,137937200972","14,2853384193692",432,-1,-1,-1,-1,-1
"792,504102720701","14,0422652534963",433,-1,-1,-1,-1,-1
"799,530096822162","13,5790503524933",434,-1,-1,-1,-1,-1
"801,872094855982","13,3543223312146",435,-1,-1,-1,-1,-1
"803,628593381347","13,2029748883126",436,-1,-1,-1,-1,-1
"805,840480413289","13,1158354514902",437,-1,-1,-1,-1,-1
"820,022579618089","12,1527153602957",438,-1,-1,-1,-1,-1
"821,518856139697","11,9096421944228",439,-1,-1,-1,-1,-1
"825,161964192306","11,7353633207781",440,-1,-1,-1,-1,-1
"843,442559956292","10,4924797745224",441,-1,-1,-1,-1,-1
"845,003891978839","10,2264751779067",442,-1,-1,-1,-1,-1
"870,700814849923","8,56165330598483",443,-1,-1,-1,-1,-1
"872,457313375288","8,3048212816663",444,-1,-1,-1,-1,-1
"901,732288798042","6,3464770962375",445,-1,-1,-1,-1,-1
"902,512954809316","6,10799021651314",446,-1,-1,-1,-1,-1
"907,652339383532","5,85574447834316",447,-1,-1,-1,-1,-1
"921,899494089272","4,91096953174285",448,-1,-1,-1,-1,-1
"927,884600175702","4,66331007972141",449,-1,-1,-1,-1,-1
"936,211704295952","4,19550889256979",450,-1,-1,-1,-1,-1
"939,269312840106","4,0028848743309",451,-1,-1,-1,-1,-1
"982,140887959206","2,09957612268463",452,-1,-1,-1,-1,-1
"990,988436086971","1,77394980613792",453,-1,-1,-1,-1,-1
"996,192876162128","1,64553379397866",454,-1,-1,-1,-1,-1
"999,315540207221","1,48960006492813",455,-1,-1,-1,-1,-1
"1002,11292674762","1,42080577269994",456,-1,-1,-1,-1,-1
,,457,-1,-1,-1,-1,-1
,,458,-1,-1,-1,-1,-1
,,459,-1,-1,-1,-1,-1
,,460,-1,-1,-1,-1,-1
,,461,-1,-1,-1,-1,-1
,,462,-1,-1,-1,-1,-1
,,463,-1,-1,-1,-1,-1
,,464,-1,-1,-1,-1,-1
,,465,-1,-1,-1,-1,-1
,,466,-1,-1,-1,-1,-1
,,467,-1,-1,-1,-1,-1
,,468,-1,-1,-1,-1,-1
,,469,-1,-1,-1,-1,-1
,,470,18,-1,-1,-1,-1
,,471,-1,-1,-1,-1,-1
,,472,-1,-1,-1,-1,-1
,,473,-1,-1,-1,-1,-1
,,474,-1,-1,-1,-1,-1
,,475,-1,-1,-1,-1,-1
,,476,-1,-1,-1,-1,-1
,,477,-1,-1,-1,-1,-1
,,478,-1,-1,-1,-1,-1
,,479,-1,-1,-1,-1,-1
,,480,-1,-1,-1,-1,-1
,,481,-1,-1,-1,-1,-1
,,482,-1,-1,-1,-1,-1
,,483,-1,-1,-1,-1,-1
,,484,-1,-1,-1,-1,-1
,,485,-1,-1,-1,-1,-1
,,486,-1,-1,-1,-1,-1
,,487,-1,-1,-1,-1,-1
,,488,-1,-1,-1,-1,-1
,,489,-1,-1,-1,-1,-1
,,490,-1,-1,-1,-1,-1
,,491,-1,-1,-1,-1,-1
,,492,-1,-1,-1,-1,-1
,,493,-1,-1,-1,-1,-1
,,494,-1,-1,-1,-1,-1
,,495,-1,-1,-1,-1,-1
,,496,-1,-1,-1,-1,-1
,,497,-1,-1,-1,-1,-1
,,498,-1,-1,-1,-1,-1
,,499,-1,-1,-1,-1,-1
,,500,-1,-1,-1,-1,-1
,,501,-1,-1,-1,-1,-1
,,502,-1,-1,-1,-1,-1
,,503,-1,-1,-1,-1,-1
,,504,-1,-1,-1,-1,-1
,,505,-1,-1,-1,-1,-1
,,506,-1,-1,-1,-1,-1
,,507,-1,-1,-1,-1,-1
,,508,-1,-1,-1,-1,-1
,,509,-1,-1,-1,-1,-1
,,510,-1,-1,-1,-1,-1
,,511,-1,-1,-1,-1,-1
,,512,-1,-1,-1,-1,-1
,,513,-1,-1,-1,-1,-1
,,514,-1,-1,-1,-1,-1
,,515,-1,-1,-1,-1,-1
,,516,-1,-1,-1,-1,-1
,,517,-1,-1,-1,-1,-1
,,518,-1,-1,-1,-1,-1
,,519,-1,-1,-1,-1,-1
,,520,-1,-1,-1,-1,-1
,,521,-1,-1,-1,-1,-1
,,522,-1,-1,-1,-1,-1
,,523,-1,-1,-1,-1,-1
,,524,-1,-1,-1,-1,-1
,,525,-1,-1,-1,-1,-1
,,526,-1,-1,-1,-1,-1
,,527,-1,-1,-1,-1,-1
,,528,-1,-1,-1,-1,-1
,,529,-1,-1,-1,-1,-1
,,530,-1,-1,-1,-1,-1
,,531,-1,-1,-1,-1,-1
,,532,-1,"22,8",-1,-1,-1
,,533,-1,-1,-1,-1,-1
,,534,-1,-1,-1,-1,-1
,,535,-1,-1,-1,-1,-1
,,536,-1,-1,-1,-1,-1
,,537,-1,-1,-1,-1,-1
,,538,-1,-1,-1,-1,-1
,,539,-1,-1,-1,-1,-1
,,540,-1,-1,-1,-1,-1
,,541,-1,-1,-1,-1,-1
,,542,-1,-1,-1,-1,-1
,,543,-1,-1,-1,-1,-1
,,544,-1,-1,-1,-1,-1
,,545,-1,-1,-1,-1,-1
,,546,-1,-1,-1,-1,-1
,,547,-1,-1,-1,-1,-1
,,548,-1,-1,-1,-1,-1
,,549,-1,-1,-1,-1,-1
,,550,-1,-1,-1,-1,-1
